,polynomials,train_mse,test_mse
0,1,0.291031227006677,0.2912101872631703
1,2,0.1992877237659614,0.19953906762864354
2,3,0.09041594247951067,0.09065528800448232
3,4,0.04858506142219972,0.04879454517030227
4,5,0.020774233332847482,0.020892962799461793
5,6,0.01261931711634869,0.012735125719291715
6,7,0.005986046225679899,0.0060471799585150405
7,8,0.003139952906247789,0.0031987421853116767
8,9,0.0018147659820972888,0.0018453924878719234
