,p1,p2,test_AR,train_AR
0,0.001,0.001,0.43815980127496923,0.4365861779240433
1,0.001,0.01,0.45601606491745006,0.4486666862272402
2,0.001,0.1,0.45744764691630574,0.45001596345985617
3,0.01,0.001,0.43471880463390583,0.43387050376587477
4,0.01,0.01,0.45606773836530884,0.448057498751907
5,0.01,0.1,0.45745089681868684,0.45000286719651683
6,0.1,0.001,0.42971233001588716,0.43251153006792925
7,0.1,0.01,0.45569919943529696,0.44860377990548583
8,0.1,0.1,0.45738784871249427,0.4499033677825746
9,1.0,0.001,0.439726904203115,0.43934562699623086
10,1.0,0.01,0.45525883766266373,0.44792369960064743
11,1.0,0.1,0.45669626948580533,0.44919878479148845
12,10.0,0.001,0.43869668514831983,0.436739450474554
13,10.0,0.01,0.4500843430915444,0.44562388712566
14,10.0,0.1,0.4510164150944316,0.4460464679362686
