,2.5,97.5
beta_0,-0.014364810375137364,0.014364810379039673
beta_1,-0.010606229270625489,1.9896562825651116
beta_2,-6.086711908548306,-4.045039271035865
beta_3,-11.936574068813446,-1.4536177356514033
beta_4,10.67911106532208,18.583892342189777
beta_5,3.4208069745732876,14.086832040491053
beta_6,-23.036945259666147,-1.627944693927807
beta_7,26.708194772707614,44.46071060038757
beta_8,-69.44074785144468,-51.760821274542906
beta_9,3.6097122203213434,25.077053256623515
beta_10,23.092776339141704,38.93882474036509
beta_11,-82.61871952561856,-62.95342748055041
beta_12,9.195738964738563,28.683436467753484
beta_13,17.940427379882045,37.49590643568515
beta_14,-27.538444229208714,-11.883784251946174
beta_15,11.682168507668674,24.934797090234216
beta_16,-43.28177060606113,-28.181909053584878
beta_17,50.265571678741345,67.5300591376289
beta_18,-25.187578010761527,-7.956046940370117
beta_19,21.499513674941454,36.642196721448954
beta_20,-36.990266738288156,-23.703203384935808
beta_21,-13.699180194948863,-2.990510680901057
beta_22,1.9092099552123702,14.27992232008028
beta_23,23.20604980554041,37.68047622331809
beta_24,9.938806851173707,26.148880435374608
beta_25,-29.7659058453635,-15.284974251954944
beta_26,-6.804466206793024,5.508853090732175
beta_27,-5.859596948054947,4.922035707076408
beta_28,-26.586225217658,-15.118409362506565
beta_29,25.913721087184022,37.48521684549727
beta_30,-22.265419668115758,-10.083035959333099
beta_31,1.4892481177706092,15.314585814845207
beta_32,-10.924121090269061,3.0498884807456017
beta_33,-31.40408014920864,-19.17759248199549
beta_34,-10.04846644077679,1.52702427436361
beta_35,24.416242255328974,35.81085388459004
beta_36,-23.218231030409278,-13.253894608754727
beta_37,32.48657022435132,43.7536266348799
beta_38,-43.94336047600763,-32.480818686007574
beta_39,-23.4292314429858,-11.388911214880903
beta_40,-1.4918309304716164,10.775613313200148
beta_41,-23.85502333045215,-11.866853974850619
beta_42,-13.642968202724466,-2.072962418415239
beta_43,-1.7540917872597372,9.546950801616246
beta_44,30.119101907026764,40.03519208506421
beta_45,-13.481465509813404,-4.427232035598593
beta_46,27.14644726101228,36.93096892334602
beta_47,-39.388870133686,-28.708183777618103
beta_48,-30.727922309774627,-19.39555182808293
beta_49,-4.804596229990945,5.697776042226702
beta_50,-10.732495520984898,-0.37249240765892555
beta_51,-12.542421087366321,-1.2323184486247811
beta_52,5.277830893134155,15.99510635067018
beta_53,-0.13570642184582304,9.688254851774543
beta_54,12.212201782036772,21.295724839437554
beta_55,-4.716603860185493,4.755438219391286
beta_56,13.702731608416439,22.698584703608862
beta_57,-23.79373060627841,-14.01841394398361
beta_58,-18.96282769927309,-8.726603609029937
beta_59,-2.2263391202730167,7.6270028211590875
beta_60,-9.03366241662481,-0.8563757321080461
beta_61,-2.6204466690084214,7.192888625968086
beta_62,3.880080742862967,14.016987343682947
beta_63,10.646880651118527,20.4627641649057
beta_64,-8.096192135990439,0.913055579692899
beta_65,-13.664625974978115,-4.159584772167001
beta_66,1.0788439909689824,10.318618672606442
beta_67,-2.7673656440223766,6.504789619043024
beta_68,-10.211987652188395,-0.48744540188811314
beta_69,-2.337419890599536,7.380000692127483
beta_70,8.64621466504287,17.88094989989076
beta_71,-8.697576674252163,-0.607979898721565
beta_72,-4.134190029778859,3.92740653090865
beta_73,9.83235732342296,19.065932383135028
beta_74,9.178434723485005,18.7535434360991
beta_75,3.360916579861156,13.101665458155834
beta_76,-18.13746186610766,-8.888744435184744
beta_77,-31.979463613819505,-22.74510487192852
beta_78,3.923153917337796,11.972109426391516
beta_79,-16.88125541011043,-7.547708860866872
beta_80,-3.0055023071708087,6.631679814157814
beta_81,8.34209511864387,18.21532627015918
beta_82,19.422097807846786,28.30015895017068
beta_83,-4.406389677256627,3.5931436587705297
beta_84,-9.458335119018528,-1.4444012218637292
beta_85,4.543967328139284,12.52933310008358
beta_86,13.39161781959341,22.271330081465532
beta_87,3.036606407912455,12.779699760766693
beta_88,-7.358428469311953,2.2169032771257164
beta_89,-22.28380945503149,-12.97541272508543
beta_90,-35.84150482786579,-27.834098596798796
beta_91,4.141920897440213,11.494221192479092
beta_92,-25.323735216281456,-16.57904334168594
beta_93,-1.1119761487997373,7.796288628137415
beta_94,10.404075524170528,19.998635208600554
beta_95,23.8187122396155,32.28742762492423
beta_96,0.13826826417886773,7.699140534800728
beta_97,-10.965736794936735,-3.4986884773715556
beta_98,-4.749461749972079,2.668429752051134
beta_99,7.041318021672961,14.639056823258105
beta_100,7.904201742141952,16.36743727035683
beta_101,-6.806921434992072,2.6907798731076387
beta_102,-13.756861599808078,-4.9575857443795694
beta_103,-17.741283398565006,-8.990231823664057
beta_104,-26.85737141228175,-19.558073542482347
beta_105,2.392656703542377,10.507720190910698
beta_106,-27.329243645136433,-19.230676669097317
beta_107,-1.9682300417977343,6.214572139905296
beta_108,5.913361562459272,14.759830254319581
beta_109,20.903889215562543,28.792802859552154
beta_110,1.1353183621076255,7.902143416041383
beta_111,-10.094699114994661,-3.107430123290464
beta_112,-9.368593957713966,-3.213568897711883
beta_113,-3.4359295630421167,3.5054784162494963
beta_114,3.232132833002519,10.089057876478497
beta_115,-0.511491962056462,7.3583446667062535
beta_116,-13.825360103429006,-5.017382480285421
beta_117,-13.36625476986168,-5.268613744163905
beta_118,-6.8333821522031215,1.2965330376249042
beta_119,-11.009707072415768,-2.9293097742913234
beta_120,0.061080038780306545,9.166984193987485
beta_121,-23.867474405759136,-15.899085008340766
beta_122,-3.3203349055410865,5.0041401675125154
beta_123,-1.6154868195437215,6.757048270446094
beta_124,13.088514770867864,20.886982198783567
beta_125,-2.1012915203179463,4.099598531408166
beta_126,-9.713965226297471,-2.9147775947514734
beta_127,-9.877907936942862,-3.905949291291548
beta_128,-8.988004083089674,-3.0587907426095065
beta_129,-6.149256354182439,0.6522062746653723
beta_130,-2.1423840032974257,4.146079006752931
beta_131,-6.772355384837615,0.9969960944184688
