,polynomials,lamb,train_mse,test_mse
153,14,10000000.0,0.9880524086901996,0.988515769897796
154,15,0.001,0.480604967587563,0.48467290239497746
155,15,0.01,0.49801950032252995,0.5024408103040642
156,15,0.1,0.5164079937700756,0.5204455836556892
157,15,1.0,0.5351428620202887,0.5390361427706888
158,15,10.0,0.5614161605632476,0.5640001880307928
159,15,100.0,0.5805616398745129,0.5822961734627745
160,15,1000.0,0.6120887287337102,0.613519609397371
161,15,10000.0,0.6927713392559643,0.6936113968719184
162,15,100000.0,0.8230859063249062,0.8237329147871746
163,15,1000000.0,0.9304695956878801,0.9308897561855559
164,15,10000000.0,0.9873736625010109,0.9878639812357386
165,16,0.001,0.47796017632573917,0.48282223685620773
166,16,0.01,0.4949098307519968,0.499398193845369
167,16,0.1,0.515288784739416,0.51979926257989
168,16,1.0,0.5332774963209415,0.5364313513469166
169,16,10.0,0.5594230532382463,0.5620878683245494
170,16,100.0,0.5799129010134364,0.5822308118389661
171,16,1000.0,0.6107831481026127,0.6119517527922046
172,16,10000.0,0.6922459866056665,0.6932448203959705
173,16,100000.0,0.8225561020971778,0.8232888449360185
174,16,1000000.0,0.9299205558265123,0.930271093143781
175,16,10000000.0,0.9867326121313562,0.9870762463967921
176,17,0.001,0.47587214563940233,0.4809281419953123
177,17,0.01,0.49205607112909133,0.4967883694014529
178,17,0.1,0.5138074562310229,0.5180042451702717
179,17,1.0,0.5321037905313512,0.5351289906893327
180,17,10.0,0.5574307988356122,0.5605022267277191
181,17,100.0,0.5792791283510201,0.5814462387733863
182,17,1000.0,0.6097420961539469,0.611377650240997
183,17,10000.0,0.6916333924770985,0.6929143014937549
184,17,100000.0,0.82201514627758,0.8228158249551554
185,17,1000000.0,0.9295388388212416,0.9298091798132241
186,17,10000000.0,0.9861279956772464,0.9865833828213384
187,18,0.001,0.47428632105665114,0.4798444045461069
188,18,0.01,0.489679222874681,0.4940700125535075
189,18,0.1,0.5120639545984392,0.515531658043847
190,18,1.0,0.5313252998366866,0.5346636583250366
191,18,10.0,0.5555425360506412,0.5579786648358224
192,18,100.0,0.5786574471148889,0.5806008914966394
193,18,1000.0,0.6089736106426141,0.6102141581501448
194,18,10000.0,0.6909934790965206,0.6917868376618649
195,18,100000.0,0.8215084359852881,0.8222324521947723
196,18,1000000.0,0.9292901700501242,0.9296586754147457
197,18,10000000.0,0.9855641567897395,0.9858377721764636
198,19,0.001,0.4730873035434768,0.4787054775418803
199,19,0.01,0.4878239404840688,0.49241752741523814
200,19,0.1,0.5101309999803663,0.5143001797764172
201,19,1.0,0.5306947898462611,0.5342238499911276
202,19,10.0,0.5537212924222443,0.5566856619414108
203,19,100.0,0.577979878683842,0.5804362703201746
204,19,1000.0,0.6083247488874803,0.6104415760762341
205,19,10000.0,0.690318279971117,0.6911481936641499
206,19,100000.0,0.8210357877934845,0.8215917578642378
207,19,1000000.0,0.9291284357159324,0.9295567402117403
208,19,10000000.0,0.985034905339227,0.985503020118925
209,20,0.001,0.47212827762335535,0.477589987687906
210,20,0.01,0.4864019098841171,0.49155992010279653
211,20,0.1,0.5082356124856964,0.5126510641361856
212,20,1.0,0.530087126468487,0.5335629025820742
213,20,10.0,0.5521204281132984,0.5550089568216582
214,20,100.0,0.5773050384589938,0.5800175476784857
215,20,1000.0,0.607885761716545,0.6095877497076403
216,20,10000.0,0.6896605438342596,0.6904774640966063
217,20,100000.0,0.8206020283093867,0.8211647367382799
218,20,1000000.0,0.9290143405863921,0.9295049159768267
219,20,10000000.0,0.9845431956153702,0.9849248137018352
220,21,0.001,0.47125671212188724,0.47640180187576464
221,21,0.01,0.48533145257767146,0.4899742893280556
222,21,0.1,0.5064559054593752,0.511180351913535
223,21,1.0,0.5294344483338802,0.5326418179814408
224,21,10.0,0.5507136211252607,0.5536113191044612
225,21,100.0,0.5766569746926025,0.5789423012113503
226,21,1000.0,0.6075197214363717,0.6092257208812387
227,21,10000.0,0.6890132025063439,0.6901226551925118
228,21,100000.0,0.8202085023869797,0.820926849305355
229,21,1000000.0,0.9289590744335428,0.9292956279666951
230,21,10000000.0,0.9840839434827269,0.9846609525978229
231,22,0.001,0.47026010134359986,0.47673438361862797
232,22,0.01,0.48441316135065743,0.48927614746537246
233,22,0.1,0.5048431300788312,0.5097016775231149
234,22,1.0,0.5286901736143597,0.5325015873072825
235,22,10.0,0.5494916464829233,0.5526421596704605
236,22,100.0,0.5759650364575685,0.578244730528487
237,22,1000.0,0.6072275580319957,0.60905528754958
238,22,10000.0,0.688436212763647,0.6896394359620787
239,22,100000.0,0.8198786139135459,0.8206050834069385
240,22,1000000.0,0.9289126799543729,0.9293439277445577
241,22,10000000.0,0.9836596331056757,0.983875204765412
242,23,0.001,0.46925188991155464,0.4757069417974886
243,23,0.01,0.4835595003914482,0.4891831354442705
