,2.5,97.5
beta_0,-0.015658721632931197,0.015524740600115884
beta_1,-0.08377500995637104,0.30968119333707533
beta_2,-0.36539496595826754,0.021499581964265987
beta_3,-0.8548199717121759,-0.22061026259274139
beta_4,0.2579246425733803,0.7274802873291384
beta_5,-2.623243319140613,-1.9285883576561125
beta_6,0.1443183940533601,0.46960206951551586
beta_7,0.33211668470960193,0.7012583331402815
beta_8,-1.28442215623052,-0.8714124398268726
beta_9,0.9682453858752726,1.3355656020572215
beta_10,0.3121021871698517,0.58734811231138
beta_11,-0.31279742833878277,-0.027901833351322885
beta_12,-0.48282024017689823,-0.2054724698707503
beta_13,-0.029553445998158377,0.22603526167529533
beta_14,1.020150334855001,1.3038164054255152
beta_15,0.03141505676731993,0.24862942836546972
beta_16,-0.5616705306944864,-0.2332550044297266
beta_17,-0.6418238808363993,-0.358268917214122
beta_18,0.6349467895843868,0.8921953895782274
beta_19,-0.058152154745107154,0.06481979054739243
beta_20,0.33494365022834405,0.5584593566580366
beta_21,-0.17261985683457645,-0.0
beta_22,-0.35220516273838015,-0.11826652946890466
beta_23,-0.8685076085849016,-0.5854671040391903
beta_24,0.5732083512809634,0.8262108531673069
beta_25,0.49034578521604155,0.6761941601296138
beta_26,-0.2897766697488604,-0.10000090965684594
beta_27,-0.008811887425636307,-0.0
beta_28,-0.3596252785864496,-0.1643133921589828
beta_29,-0.0038159681376719276,0.20818432122942632
beta_30,-0.8563190323006562,-0.543493115507413
beta_31,0.14654739728129831,0.37819354309991093
beta_32,0.4840939540539875,0.5958567279417686
beta_33,0.047351444502554005,0.21429670700496056
beta_34,-0.3590335513934184,-0.21341529482056704
beta_35,-0.21611266446105348,-0.040905633033295134
beta_36,-0.3541975286244746,-0.16808246242219838
beta_37,0.5656628801661423,0.8480928162894751
beta_38,-0.6827690270557439,-0.339850213734396
beta_39,-0.050402962552366266,0.04121984372207948
beta_40,-0.007936766010516027,0.10364499988541383
beta_41,0.04743842656658807,0.19046815690645758
beta_42,-0.0,0.05673859841926148
beta_43,-0.27057238461323724,-0.1216195789715413
beta_44,-0.2841808094426393,-0.17150093084708534
beta_45,-0.500004262658339,-0.18925843336923187
beta_46,1.0718692781642298,1.5595352432205503
beta_47,-0.2918437042093738,0.09301434014083955
beta_48,-0.25471438098057303,0.0
beta_49,-0.45695399189494945,-0.2708954675268879
beta_50,-0.35982692832928465,-0.1685064146054666
beta_51,-0.09272859757542283,-0.0
beta_52,-0.05832945047577523,0.09289988310092431
beta_53,-0.10745654847229551,0.07652516249424397
beta_54,-0.3354633225511618,-0.14659489952415958
