,2.5,97.5
beta_0,-0.019862701695382137,0.019862701696047674
beta_1,0.15410138357441117,2.70356880121341
beta_2,1.1214373138977887,3.5734363472611195
beta_3,-8.512056248379768,4.161912285787285
beta_4,-11.481482202542049,-0.9800386936056551
beta_5,-14.680105822083707,-2.3615169402808602
beta_6,-19.822003756710167,8.07547727375857
beta_7,-8.240975562334844,16.95722969315559
beta_8,4.184801344765731,29.27061725028892
beta_9,-7.959488257435796,18.40606630083238
beta_10,-7.146748318918796,21.627921719540424
beta_11,-12.625137063257187,17.795997554717374
beta_12,-13.795620736443404,15.110588376653347
beta_13,-32.98218178542418,-2.241109192808219
beta_14,-8.343519389557915,17.543554634948524
beta_15,-2.5877179235665384,13.25235273223168
beta_16,-11.40022549596348,9.715067499361124
beta_17,-12.68643448867626,9.344494626848265
beta_18,-22.049364452961235,0.07142449776954862
beta_19,-12.228405159853086,8.80261627487062
beta_20,-8.108324485536455,8.11727294366227
beta_21,-12.25854976255877,10.609088358720411
beta_22,-19.012373752441725,2.8887006333251524
beta_23,-17.61657824510454,9.136439934756856
beta_24,-5.381061277044479,23.495968783897823
beta_25,-11.183212315811694,15.510291154877201
beta_26,0.22276842406891362,21.496732410097042
beta_27,-13.2589178578048,7.481140756309497
beta_28,-12.094139525513281,0.4892198165536392
beta_29,-7.198235878589294,9.388300042613373
beta_30,-15.351320422689389,4.636406646312173
beta_31,-4.86415567977663,16.77941735957127
beta_32,-4.300153409429846,17.49479363597559
beta_33,-7.731569229712413,11.942342039168516
beta_34,-3.838680377292464,12.831084220616164
beta_35,-9.678357151982558,3.7111961449898754
beta_36,-19.57455436691471,7.805474683624382
beta_37,-2.3530758155926215,24.413968238101535
beta_38,-6.5003221420643555,19.774951392233156
beta_39,-15.467316046986667,11.332490954129895
beta_40,-18.120753253821853,12.13446756639761
beta_41,-22.01696825144822,4.3110708937259385
beta_42,-19.328166038234436,6.705525772151255
beta_43,-18.815055946829155,7.022149649225533
beta_44,-13.864891649021288,11.915125123255407
beta_45,-2.335227090352415,15.13133821649171
beta_46,-16.088933206498794,4.248228268363915
beta_47,-15.09842945521997,10.384011303338424
beta_48,-13.31995677699015,13.324949572923654
beta_49,-15.340659091372025,12.665520284797047
beta_50,-6.9503285712485265,20.651933976499556
beta_51,-19.598665309259836,7.049380558838768
beta_52,-4.229154852192313,22.38056805668997
beta_53,-11.701843638385924,8.837823376064932
beta_54,-5.737875469087035,11.676005983783275
