,2.5,97.5
beta_0,-0.019837956636058217,0.019837956639261002
beta_1,-0.4344420265335083,3.2944396550184702
beta_2,0.9433080342219331,4.608829407958605
beta_3,-11.289297745125566,13.291005717283895
beta_4,-17.860604114060806,-2.4952037176538235
beta_5,-22.19905114741156,3.6434809433677966
beta_6,-64.36699757109038,12.238881165623226
beta_7,-8.770493468324297,31.357087426698875
beta_8,15.07996934566632,56.53818194525797
beta_9,-44.410068129762095,40.3420482632844
beta_10,-3.512275672484634,119.61161623161354
beta_11,-31.341170377906607,27.955482697049817
beta_12,-49.18669353222215,4.744909709382075
beta_13,-88.11505027309913,-25.744099271633512
beta_14,-37.664490310281664,104.05390493273005
beta_15,-98.9028600816884,-0.45897550159936173
beta_16,-28.95479369882164,19.443713381680617
beta_17,-16.82098612334624,21.97863646929721
beta_18,4.352577466379319,46.5488648488173
beta_19,12.095405792960854,62.362827866427644
beta_20,-95.32857384307695,20.736322723873094
beta_21,-0.3644445052524574,30.629330461033668
beta_22,-5.95691784150284,10.937264663973732
beta_23,-7.027099821981405,6.543728998275778
beta_24,-6.1340326074423,7.67320851754625
beta_25,-20.534985809397146,-4.727255375605349
beta_26,-15.69395572973796,1.953619002125075
beta_27,-6.058732447635784,30.85067750392708
